pdbid;n.aligned;n.sites.p.2;% no gaps;% gaps;% id
1bina;137;143;95.8041958;4.195804196;12.4
1lh1;146;153;95.4248366;4.575163399;17.8
1hlm;145;158;91.7721519;8.227848101;17.2
1hlb;144;157;91.71974522;8.280254777;17.4
2mm1;151;153;98.69281046;1.307189542;85.4
1pmba;151;153;98.69281046;1.307189542;86.1
1ymb;151;153;98.69281046;1.307189542;87.4
1mbs;151;153;98.69281046;1.307189542;83.4
1emy;151;153;98.69281046;1.307189542;80.8
1lht;151;153;98.69281046;1.307189542;64.2
1myt;144;146;98.63013699;1.369863014;43.8
2pghb;145;146;99.31506849;0.684931507;27.6
2hhbb;145;146;99.31506849;0.684931507;24.8
1hdab;145;145;100;0;22.8
2mhbb;145;146;99.31506849;0.684931507;24.8
1hdsb;145;145;100;0;24.8
1fdhg;145;146;99.31506849;0.684931507;22.8
1spgb;145;147;98.63945578;1.360544218;21.4
1hbhb;145;146;99.31506849;0.684931507;22.1
1outb;145;146;99.31506849;0.684931507;22.1
1spga;142;143;99.3006993;0.699300699;25.4
1pbxa;142;142;100;0;22.5
1hdaa;141;141;100;0;28.4
2hhba;141;141;100;0;27
2mhba;141;141;100;0;26.2
2pgha;141;141;100;0;27.7
1hdsa;141;141;100;0;27.7
1outa;142;142;100;0;23.9
2lhb;136;149;91.27516779;8.724832215;24.3
1itha;138;141;97.87234043;2.127659574;15.2
1ecd;135;136;99.26470588;0.735294118;22.2
1a4fa;141;141;100;0;26.2
1a4fb;145;146;99.31506849;0.684931507;26.9
1a9we;144;145;99.31034483;0.689655172;23.6
1hbra;141;141;100;0;25.5
1cg5a;141;141;100;0;25.5
1cg5b;139;141;98.58156028;1.418439716;19.4
