family,p.ref,theo.chain.p.ref,exp.chain.p.ref,mut.model,n.mut.p,fmax,R0,core,rotate,heme,analyze.familiy,generate.mutants,analyze.experimental.theoretical
plastocyanins,1bxv,A,G,LFENM,10,2,12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
plastocyanins,1bxv,A,G,LFENM,10,2,12,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
serinProteases,1mct,A,G,LFENM,10,2,12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
serinProteases,1mct,A,G,LFENM,10,2,12,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
sh3,1awj,A,A,LFENM,10,2,12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
sh3,1awj,A,A,LFENM,10,2,12,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
snakesToxin,1kbt,A,A,LFENM,10,2,12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
snakesToxin,1kbt,A,A,LFENM,10,2,12,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
fabp,1ifc,A,A,LFENM,10,2,12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
fabp,1ifc,A,A,LFENM,10,2,12,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
lipocalin,1exs,A,M,LFENM,10,2,12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
lipocalin,1exs,A,M,LFENM,10,2,12,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
kinase,1cki,A,B,LFENM,10,2,12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
kinase,1cki,A,B,LFENM,10,2,12,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
rrm,2u2f,A,M,LFENM,10,2,12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
rrm,2u2f,A,M,LFENM,10,2,12,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
phoslip,1pob,A,C,LFENM,10,2,12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
phoslip,1pob,A,C,LFENM,10,2,12,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
gluts,5gst,A,B,LFENM,10,2,12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
